timestamp,open,high,low,close,volume,close_p1,close_p2,close_p3,close_p4,close_p5,close_p6,close_p7,close_p8,close_p9,close_p10,close_p11
2017-01-02 09:15:00+05:30,80.83,81,80.83,80.9,29495,80.9,80.8,80.77,80.6,80.57,80.53,80.73,80.77,80.77,80.9,81.2
2017-01-02 09:16:00+05:30,80.9,80.9,80.77,80.9,25445,80.8,80.77,80.6,80.57,80.53,80.73,80.77,80.77,80.9,81.2,81.13
2017-01-02 09:17:00+05:30,80.87,80.93,80.77,80.8,23282,80.77,80.6,80.57,80.53,80.73,80.77,80.77,80.9,81.2,81.13,81.1
2017-01-02 09:18:00+05:30,80.8,80.8,80.67,80.77,31247,80.6,80.57,80.53,80.73,80.77,80.77,80.9,81.2,81.13,81.1,81
2017-01-02 09:19:00+05:30,80.77,80.8,80.53,80.6,22892,80.57,80.53,80.73,80.77,80.77,80.9,81.2,81.13,81.1,81,80.93
2017-01-02 09:20:00+05:30,80.6,80.6,80.5,80.57,22490,80.53,80.73,80.77,80.77,80.9,81.2,81.13,81.1,81,80.93,80.9
2017-01-02 09:21:00+05:30,80.53,80.57,80.47,80.53,23778,80.73,80.77,80.77,80.9,81.2,81.13,81.1,81,80.93,80.9,81
2017-01-02 09:22:00+05:30,80.53,80.73,80.5,80.73,27114,80.77,80.77,80.9,81.2,81.13,81.1,81,80.93,80.9,81,80.83
2017-01-02 09:23:00+05:30,80.73,80.87,80.73,80.77,15987,80.77,80.9,81.2,81.13,81.1,81,80.93,80.9,81,80.83,81
2017-01-02 09:24:00+05:30,80.83,80.83,80.63,80.77,25343,80.9,81.2,81.13,81.1,81,80.93,80.9,81,80.83,81,81
2017-01-02 09:25:00+05:30,80.77,80.9,80.77,80.9,15806,81.2,81.13,81.1,81,80.93,80.9,81,80.83,81,81,81.03
2017-01-02 09:26:00+05:30,80.93,81.2,80.87,81.2,80468,81.13,81.1,81,80.93,80.9,81,80.83,81,81,81.03,81.27
2017-01-02 09:27:00+05:30,81.17,81.27,81.1,81.13,60929,81.1,81,80.93,80.9,81,80.83,81,81,81.03,81.27,81.2
2017-01-02 09:28:00+05:30,81.13,81.17,81,81.1,22644,81,80.93,80.9,81,80.83,81,81,81.03,81.27,81.2,81.27
2017-01-02 09:29:00+05:30,81.03,81.1,80.93,81,18609,80.93,80.9,81,80.83,81,81,81.03,81.27,81.2,81.27,81.13
2017-01-02 09:30:00+05:30,81.03,81.07,80.93,80.93,28322,80.9,81,80.83,81,81,81.03,81.27,81.2,81.27,81.13,81.17
2017-01-02 09:31:00+05:30,80.93,80.97,80.9,80.9,16953,81,80.83,81,81,81.03,81.27,81.2,81.27,81.13,81.17,81.13
2017-01-02 09:32:00+05:30,80.9,81,80.87,81,16935,80.83,81,81,81.03,81.27,81.2,81.27,81.13,81.17,81.13,81.17
2017-01-02 09:33:00+05:30,80.97,80.97,80.83,80.83,23148,81,81,81.03,81.27,81.2,81.27,81.13,81.17,81.13,81.17,81.2
2017-01-02 09:34:00+05:30,80.83,81,80.83,81,19737,81,81.03,81.27,81.2,81.27,81.13,81.17,81.13,81.17,81.2,81.13
2017-01-02 09:35:00+05:30,81,81.1,80.97,81,23826,81.03,81.27,81.2,81.27,81.13,81.17,81.13,81.17,81.2,81.13,81.07
2017-01-02 09:36:00+05:30,81.03,81.1,81.03,81.03,20192,81.27,81.2,81.27,81.13,81.17,81.13,81.17,81.2,81.13,81.07,81.13
2017-01-02 09:37:00+05:30,81.03,81.3,81.03,81.27,59934,81.2,81.27,81.13,81.17,81.13,81.17,81.2,81.13,81.07,81.13,81.03
2017-01-02 09:38:00+05:30,81.27,81.3,81.17,81.2,16637,81.27,81.13,81.17,81.13,81.17,81.2,81.13,81.07,81.13,81.03,81.17
2017-01-02 09:39:00+05:30,81.23,81.3,81.2,81.27,18030,81.13,81.17,81.13,81.17,81.2,81.13,81.07,81.13,81.03,81.17,81.1
2017-01-02 09:40:00+05:30,81.23,81.27,81.13,81.13,32282,81.17,81.13,81.17,81.2,81.13,81.07,81.13,81.03,81.17,81.1,81.07
2017-01-02 09:41:00+05:30,81.07,81.17,81.07,81.17,16452,81.13,81.17,81.2,81.13,81.07,81.13,81.03,81.17,81.1,81.07,81.1
2017-01-02 09:42:00+05:30,81.17,81.17,81.07,81.13,6107,81.17,81.2,81.13,81.07,81.13,81.03,81.17,81.1,81.07,81.1,81.13
2017-01-02 09:43:00+05:30,81.17,81.17,81.1,81.17,4889,81.2,81.13,81.07,81.13,81.03,81.17,81.1,81.07,81.1,81.13,81.13
2017-01-02 09:44:00+05:30,81.17,81.2,81.13,81.2,8673,81.13,81.07,81.13,81.03,81.17,81.1,81.07,81.1,81.13,81.13,81.17
2017-01-02 09:45:00+05:30,81.2,81.2,81.1,81.13,11823,81.07,81.13,81.03,81.17,81.1,81.07,81.1,81.13,81.13,81.17,81.47
2017-01-02 09:46:00+05:30,81.13,81.13,81.07,81.07,10826,81.13,81.03,81.17,81.1,81.07,81.1,81.13,81.13,81.17,81.47,81.33
2017-01-02 09:47:00+05:30,81.07,81.17,81.07,81.13,9599,81.03,81.17,81.1,81.07,81.1,81.13,81.13,81.17,81.47,81.33,81.3
2017-01-02 09:48:00+05:30,81.13,81.13,81.03,81.03,25629,81.17,81.1,81.07,81.1,81.13,81.13,81.17,81.47,81.33,81.3,81.4
2017-01-02 09:49:00+05:30,81.07,81.17,81.03,81.17,7538,81.1,81.07,81.1,81.13,81.13,81.17,81.47,81.33,81.3,81.4,81.33
2017-01-02 09:50:00+05:30,81.17,81.17,81.1,81.1,6410,81.07,81.1,81.13,81.13,81.17,81.47,81.33,81.3,81.4,81.33,81.43
2017-01-02 09:51:00+05:30,81.1,81.13,81.07,81.07,4478,81.1,81.13,81.13,81.17,81.47,81.33,81.3,81.4,81.33,81.43,81.57
2017-01-02 09:52:00+05:30,81.13,81.13,81.07,81.1,5369,81.13,81.13,81.17,81.47,81.33,81.3,81.4,81.33,81.43,81.57,81.53
